Learning Rate	Train Loss	Valid Loss	Valid PSNR.	
0.000100	0.881753	0.695192	0.483871	
0.000100	0.692278	0.691726	0.483871	
0.000100	0.683670	0.689297	0.500000	
0.000100	0.675785	0.686857	0.514337	
0.000100	0.666908	0.683974	0.532258	
0.000100	0.656864	0.680179	0.537634	
0.000100	0.644999	0.675416	0.548387	
0.000100	0.629636	0.669343	0.564516	
0.000100	0.611552	0.661836	0.564516	
0.000100	0.588289	0.652213	0.575269	
0.000100	0.558566	0.640074	0.577061	
0.000100	0.523224	0.625720	0.577061	
0.000100	0.480375	0.609395	0.575269	
0.000100	0.432588	0.591952	0.577061	
0.000100	0.383853	0.572022	0.582437	
0.000100	0.335102	0.545193	0.609319	
0.000100	0.291561	0.539201	0.600358	
0.000100	0.255146	0.507783	0.661290	
0.000100	0.224398	0.484368	0.700717	
0.000100	0.199887	0.469416	0.713262	
0.000100	0.177404	0.426780	0.763441	
0.000100	0.160921	0.415360	0.768817	
0.000100	0.147488	0.388579	0.795699	
0.000100	0.134945	0.383595	0.795699	
0.000100	0.125900	0.357493	0.810036	
0.000100	0.116537	0.328620	0.824373	
0.000100	0.110161	0.321344	0.826165	
0.000100	0.105629	0.311225	0.827957	
0.000100	0.099371	0.292859	0.836918	
0.000100	0.096078	0.272030	0.849462	
0.000100	0.091077	0.275087	0.845878	
0.000100	0.088196	0.242058	0.869176	
0.000100	0.084675	0.254318	0.853047	
0.000100	0.082504	0.252076	0.854839	
0.000100	0.081384	0.256091	0.851254	
0.000100	0.078548	0.224885	0.872760	
0.000100	0.076575	0.216152	0.885305	
0.000100	0.074077	0.206889	0.897849	
0.000100	0.071870	0.217890	0.878136	
0.000100	0.070285	0.194793	0.905018	
0.000100	0.068831	0.197905	0.903226	
0.000100	0.069558	0.190108	0.905018	
0.000100	0.067178	0.190474	0.905018	
0.000100	0.067378	0.190662	0.905018	
0.000100	0.064109	0.191869	0.905018	
0.000100	0.064111	0.182116	0.910394	
0.000100	0.063948	0.179057	0.917563	
0.000100	0.063180	0.181431	0.910394	
0.000100	0.063110	0.156233	0.937276	
0.000100	0.062558	0.179957	0.912186	
0.000100	0.061427	0.154742	0.937276	
0.000100	0.058305	0.158242	0.935484	
0.000100	0.058355	0.148920	0.940860	
0.000100	0.058230	0.168178	0.922939	
0.000100	0.055868	0.156528	0.935484	
0.000100	0.055684	0.141144	0.940860	
0.000100	0.053878	0.192980	0.899642	
0.000100	0.054844	0.145899	0.940860	
0.000100	0.054145	0.144869	0.940860	
0.000100	0.051860	0.154993	0.935484	
0.000100	0.049932	0.146521	0.940860	
0.000100	0.050378	0.169433	0.924731	
0.000100	0.050508	0.136972	0.940860	
0.000100	0.046762	0.177178	0.913978	
0.000100	0.048205	0.137642	0.940860	
0.000100	0.047335	0.131472	0.944444	
0.000100	0.043933	0.161062	0.939068	
0.000100	0.041906	0.151130	0.940860	
0.000100	0.043045	0.215433	0.883513	
0.000100	0.041244	0.172886	0.926523	
0.000100	0.041370	0.160284	0.939068	
0.000100	0.040270	0.150072	0.940860	
0.000100	0.040160	0.160533	0.937276	
0.000100	0.040699	0.150527	0.940860	
0.000100	0.036702	0.152943	0.940860	
0.000100	0.035356	0.190130	0.899642	
0.000100	0.035861	0.164521	0.926523	
0.000100	0.033806	0.174720	0.906810	
0.000100	0.033686	0.161656	0.926523	
0.000100	0.031794	0.174117	0.901434	
0.000100	0.034005	0.209485	0.890681	
0.000100	0.032152	0.144861	0.958781	
0.000100	0.029678	0.195679	0.896057	
0.000100	0.028998	0.182574	0.897849	
0.000100	0.028904	0.232228	0.876344	
0.000100	0.026950	0.198289	0.896057	
0.000100	0.027015	0.136699	0.964158	
0.000100	0.026779	0.142628	0.960573	
0.000100	0.024686	0.201083	0.894265	
0.000100	0.024387	0.135079	0.962366	
0.000100	0.024453	0.140541	0.956989	
0.000100	0.024408	0.199356	0.903226	
0.000100	0.023572	0.214863	0.892473	
0.000100	0.022280	0.277757	0.860215	
0.000100	0.022763	0.177939	0.922939	
0.000100	0.022028	0.170687	0.926523	
0.000100	0.021369	0.281008	0.867384	
0.000100	0.020748	0.221351	0.896057	
0.000100	0.019840	0.183053	0.922939	
0.000100	0.019753	0.172969	0.928315	
