Learning Rate	Train Loss	Valid Loss	Valid PSNR.	
0.000100	1.469928	0.693287	0.516129	
0.000100	0.695463	0.693142	0.516129	
0.000100	0.694669	0.693045	0.516129	
0.000100	0.694331	0.692923	0.516129	
0.000100	0.693904	0.692873	0.516129	
0.000100	0.693911	0.692856	0.516129	
0.000100	0.693502	0.692895	0.516129	
0.000100	0.692877	0.692927	0.546595	
0.000100	0.692706	0.693008	0.483871	
0.000100	0.692346	0.693119	0.483871	
0.000100	0.692467	0.693207	0.483871	
0.000100	0.692288	0.693275	0.483871	
0.000100	0.691827	0.693325	0.483871	
0.000100	0.691817	0.693392	0.483871	
0.000100	0.691505	0.693491	0.483871	
0.000100	0.691497	0.693565	0.483871	
0.000100	0.691043	0.693605	0.483871	
0.000100	0.690846	0.693661	0.483871	
0.000100	0.690739	0.693734	0.483871	
0.000100	0.690747	0.693763	0.483871	
0.000100	0.690575	0.693791	0.483871	
0.000100	0.690550	0.693845	0.483871	
0.000100	0.690034	0.693902	0.483871	
0.000100	0.690141	0.693925	0.483871	
0.000100	0.690199	0.693968	0.483871	
0.000100	0.689822	0.694003	0.483871	
0.000100	0.689233	0.694049	0.483871	
0.000100	0.689216	0.694090	0.483871	
0.000100	0.689271	0.694069	0.483871	
0.000100	0.689121	0.694094	0.483871	
0.000100	0.688721	0.694128	0.483871	
0.000100	0.688756	0.694121	0.483871	
0.000100	0.688548	0.694120	0.483871	
0.000100	0.688262	0.694102	0.483871	
0.000100	0.688252	0.694157	0.483871	
0.000100	0.687774	0.694133	0.483871	
0.000100	0.687651	0.694062	0.483871	
0.000100	0.687491	0.694000	0.483871	
0.000100	0.687247	0.693949	0.483871	
0.000100	0.686916	0.693895	0.483871	
0.000100	0.686381	0.693817	0.483871	
0.000100	0.686269	0.693777	0.483871	
0.000100	0.685724	0.693719	0.483871	
0.000100	0.685466	0.693619	0.483871	
0.000100	0.685819	0.693517	0.483871	
0.000100	0.685061	0.693414	0.483871	
0.000100	0.684637	0.693221	0.483871	
0.000100	0.684141	0.693028	0.483871	
0.000100	0.683661	0.692876	0.483871	
0.000100	0.682584	0.692714	0.483871	
0.000100	0.682466	0.692621	0.483871	
0.000100	0.682012	0.692472	0.483871	
0.000100	0.681240	0.692238	0.483871	
0.000100	0.680896	0.691943	0.483871	
0.000100	0.679886	0.691661	0.483871	
0.000100	0.679504	0.691275	0.483871	
0.000100	0.678082	0.690913	0.483871	
0.000100	0.676521	0.690731	0.483871	
0.000100	0.676269	0.690484	0.483871	
0.000100	0.675371	0.690014	0.483871	
0.000100	0.673806	0.689541	0.483871	
0.000100	0.672232	0.689495	0.483871	
0.000100	0.670126	0.688810	0.483871	
0.000100	0.669150	0.688653	0.483871	
0.000100	0.667412	0.687955	0.483871	
0.000100	0.665051	0.687505	0.483871	
0.000100	0.662863	0.686945	0.483871	
0.000100	0.660284	0.686706	0.483871	
0.000100	0.657463	0.686401	0.483871	
0.000100	0.654249	0.685449	0.483871	
0.000100	0.648487	0.683706	0.483871	
0.000100	0.644341	0.682341	0.483871	
0.000100	0.638108	0.682911	0.483871	
0.000100	0.631761	0.679715	0.483871	
0.000100	0.625054	0.677261	0.483871	
0.000100	0.614946	0.673517	0.483871	
0.000100	0.605057	0.678068	0.483871	
0.000100	0.589487	0.672068	0.483871	
0.000100	0.573292	0.659493	0.589606	
0.000100	0.556147	0.667961	0.505376	
0.000100	0.532548	0.639933	0.736559	
0.000100	0.504450	0.639588	0.645161	
0.000100	0.481105	0.619757	0.758065	
0.000100	0.452339	0.622165	0.666667	
0.000100	0.413216	0.571613	0.801075	
0.000100	0.390169	0.546845	0.847670	
0.000100	0.357658	0.548946	0.786738	
0.000100	0.322934	0.509003	0.836918	
0.000100	0.286041	0.607772	0.559140	
0.000100	0.255676	0.492649	0.754480	
0.000100	0.232402	0.466187	0.811828	
0.000100	0.202589	0.643837	0.566308	
0.000100	0.185416	0.515494	0.673835	
0.000100	0.165306	0.539503	0.661290	
0.000100	0.160990	0.865977	0.530466	
0.000100	0.145756	0.428691	0.867384	
0.000100	0.132459	0.432572	0.842294	
0.000100	0.124529	0.428066	0.833333	
0.000100	0.113792	0.607832	0.627240	
0.000100	0.107048	0.638800	0.629032	
