Learning Rate	Train Loss	Valid Loss	Valid PSNR.	
0.000100	0.685526	0.685795	0.516129	
0.000100	0.677654	0.682453	0.516129	
0.000100	0.669106	0.678650	0.516129	
0.000100	0.661591	0.674855	0.516129	
0.000100	0.652505	0.671357	0.516129	
0.000100	0.643737	0.667632	0.516129	
0.000100	0.634289	0.663397	0.516129	
0.000100	0.624427	0.658786	0.516129	
0.000100	0.613112	0.653771	0.516129	
0.000100	0.601291	0.648221	0.940860	
0.000100	0.588697	0.641764	1.000000	
0.000100	0.574184	0.634885	0.991039	
0.000100	0.559593	0.627513	0.946237	
0.000100	0.541960	0.619579	0.912186	
0.000100	0.525046	0.611275	0.856631	
0.000100	0.505554	0.602885	0.822581	
0.000100	0.483646	0.594455	0.783154	
0.000100	0.463011	0.586325	0.740143	
0.000100	0.438715	0.579297	0.682796	
0.000100	0.413679	0.570434	0.661290	
0.000100	0.387099	0.564399	0.639785	
0.000100	0.363121	0.555356	0.630824	
0.000100	0.339902	0.549255	0.623656	
0.000100	0.316577	0.537137	0.645161	
0.000100	0.295710	0.531472	0.645161	
0.000100	0.276246	0.522317	0.654122	
0.000100	0.258713	0.499264	0.684588	
0.000100	0.242737	0.498300	0.675627	
0.000100	0.227858	0.471033	0.724014	
0.000100	0.213115	0.463260	0.731183	
0.000100	0.199318	0.461040	0.729391	
0.000100	0.188450	0.440838	0.750896	
0.000100	0.177558	0.432314	0.756272	
0.000100	0.165672	0.415256	0.767025	
0.000100	0.158067	0.419388	0.767025	
0.000100	0.153578	0.398838	0.783154	
0.000100	0.146517	0.387973	0.792115	
0.000100	0.143113	0.362949	0.810036	
0.000100	0.131643	0.384200	0.793907	
0.000100	0.131793	0.357143	0.810036	
0.000100	0.127689	0.355897	0.810036	
0.000100	0.121595	0.344392	0.817204	
0.000100	0.116236	0.340222	0.818996	
0.000100	0.110433	0.343386	0.815412	
0.000100	0.109352	0.327653	0.824373	
0.000100	0.105563	0.324896	0.824373	
0.000100	0.105235	0.306170	0.835125	
0.000100	0.101252	0.301785	0.835125	
0.000100	0.098673	0.290113	0.842294	
0.000100	0.096449	0.297287	0.835125	
0.000100	0.095153	0.282190	0.844086	
0.000100	0.092138	0.278956	0.847670	
0.000100	0.089533	0.253131	0.863799	
0.000100	0.089559	0.269283	0.851254	
0.000100	0.085113	0.274081	0.847670	
0.000100	0.084652	0.270465	0.849462	
0.000100	0.082215	0.262194	0.856631	
0.000100	0.080824	0.244330	0.863799	
0.000100	0.082602	0.244914	0.863799	
0.000100	0.077255	0.250718	0.862007	
0.000100	0.075958	0.238383	0.870968	
0.000100	0.077921	0.243558	0.863799	
0.000100	0.075774	0.222578	0.883513	
0.000100	0.074304	0.217419	0.894265	
0.000100	0.073312	0.226447	0.878136	
0.000100	0.072760	0.222350	0.883513	
0.000100	0.069495	0.232727	0.870968	
0.000100	0.072360	0.227936	0.874552	
0.000100	0.072234	0.216462	0.890681	
0.000100	0.069616	0.236432	0.869176	
0.000100	0.067333	0.216936	0.890681	
0.000100	0.066989	0.211395	0.894265	
0.000100	0.065835	0.197319	0.908602	
0.000100	0.069057	0.203838	0.901434	
0.000100	0.065744	0.193245	0.908602	
0.000100	0.066910	0.188540	0.913978	
0.000100	0.065251	0.221838	0.879928	
0.000100	0.064940	0.202572	0.901434	
0.000100	0.063030	0.229920	0.874552	
0.000100	0.062601	0.206932	0.897849	
0.000100	0.062708	0.202414	0.903226	
0.000100	0.059363	0.195725	0.908602	
0.000100	0.061841	0.191983	0.912186	
0.000100	0.060988	0.191578	0.913978	
0.000100	0.058886	0.195726	0.906810	
0.000100	0.057908	0.217557	0.881720	
0.000100	0.056079	0.212313	0.888889	
0.000100	0.056324	0.230379	0.878136	
0.000100	0.056250	0.214784	0.883513	
0.000100	0.053501	0.214060	0.885305	
0.000100	0.053556	0.212815	0.885305	
0.000100	0.056211	0.217342	0.883513	
0.000100	0.054990	0.201978	0.897849	
0.000100	0.052937	0.215136	0.885305	
0.000100	0.052648	0.192657	0.910394	
0.000100	0.053041	0.230205	0.879928	
0.000100	0.051796	0.205663	0.890681	
0.000100	0.050272	0.205615	0.894265	
0.000100	0.049077	0.205058	0.896057	
0.000100	0.049309	0.201967	0.899642	
