Learning Rate	Train Loss	Valid Loss	Valid PSNR.	
0.000100	0.691020	0.694582	0.483871	
0.000100	0.687889	0.693313	0.483871	
0.000100	0.683307	0.690129	0.483871	
0.000100	0.673733	0.683262	0.483871	
0.000100	0.647001	0.657547	0.485962	
0.000100	0.547257	0.542872	0.772103	
0.000100	0.377772	0.382935	0.911888	
0.000100	0.228524	0.372096	0.890681	
0.000100	0.126089	0.422114	0.781661	
0.000100	0.080433	0.361904	0.847670	
0.000100	0.053226	0.329182	0.860812	
0.000100	0.037312	0.258301	0.928315	
0.000100	0.027893	0.217534	0.943548	
0.000100	0.022229	0.209581	0.945341	
0.000100	0.016143	0.255471	0.919654	
0.000100	0.012451	0.201891	0.946834	
0.000100	0.009287	0.221539	0.945341	
0.000100	0.007110	0.234462	0.944444	
0.000100	0.005639	0.245318	0.941458	
0.000100	0.004390	0.194018	0.953405	
0.000100	0.004024	0.195619	0.953405	
0.000100	0.003254	0.244679	0.945938	
0.000100	0.002805	0.224522	0.947730	
0.000100	0.002504	0.277505	0.939367	
0.000100	0.002324	0.225695	0.948327	
0.000100	0.001741	0.209223	0.953106	
0.000100	0.001693	0.255482	0.945938	
0.000100	0.001413	0.273333	0.942951	
0.000100	0.001370	0.237056	0.949821	
0.000100	0.001258	0.264766	0.946535	
0.000100	0.001373	0.242199	0.948626	
0.000100	0.000986	0.257434	0.946834	
0.000100	0.001196	0.249579	0.949821	
0.000100	0.001021	0.297680	0.939665	
0.000100	0.000868	0.239705	0.951912	
0.000100	0.000743	0.249727	0.950418	
0.000100	0.000811	0.268261	0.947431	
0.000100	0.000653	0.280764	0.946237	
0.000100	0.000582	0.257787	0.949821	
0.000100	0.000565	0.282683	0.945938	
0.000100	0.000631	0.248066	0.951613	
0.000100	0.000573	0.256808	0.950418	
0.000100	0.000535	0.269710	0.949821	
0.000100	0.000429	0.263304	0.950418	
0.000100	0.000559	0.264581	0.950119	
0.000100	0.000402	0.261753	0.950119	
0.000100	0.000523	0.246129	0.952808	
0.000100	0.000424	0.287173	0.947431	
0.000100	0.000537	0.283625	0.948029	
0.000100	0.000548	0.256751	0.951314	
0.000100	0.000399	0.316949	0.939665	
0.000100	0.000313	0.344317	0.929809	
0.000100	0.000352	0.252931	0.952509	
0.000100	0.000473	0.359386	0.928913	
0.000100	0.000539	0.281974	0.948029	
0.000100	0.000275	0.298077	0.945938	
0.000100	0.000251	0.267316	0.950418	
0.000100	0.000286	0.281866	0.948925	
0.000100	0.000243	0.329197	0.939068	
0.000100	0.000256	0.246458	0.954600	
0.000100	0.000289	0.296190	0.947133	
0.000100	0.000216	0.305588	0.943847	
0.000100	0.000238	0.356635	0.931900	
0.000100	0.000226	0.270072	0.951613	
0.000100	0.000272	0.311664	0.945938	
0.000100	0.000200	0.302552	0.947133	
0.000100	0.000253	0.312481	0.943250	
0.000100	0.000219	0.341406	0.939367	
0.000100	0.000211	0.283669	0.950119	
0.000100	0.000190	0.317246	0.944146	
0.000100	0.000201	0.325001	0.943250	
0.000100	0.000162	0.294945	0.949821	
0.000100	0.000242	0.320658	0.943847	
0.000100	0.000180	0.375331	0.929510	
0.000100	0.000193	0.329603	0.943250	
0.000100	0.000178	0.327162	0.943847	
0.000100	0.000179	0.297173	0.950418	
0.000100	0.000184	0.337375	0.941458	
0.000100	0.000187	0.305902	0.948925	
0.000100	0.000188	0.312157	0.947133	
0.000100	0.000150	0.315151	0.947133	
0.000100	0.000141	0.393254	0.927121	
0.000100	0.000153	0.314796	0.947133	
0.000100	0.000123	0.356409	0.935185	
0.000100	0.000130	0.308099	0.948029	
0.000100	0.000145	0.324542	0.944146	
0.000100	0.000160	0.319802	0.944146	
0.000100	0.000148	0.310720	0.948029	
0.000100	0.000118	0.363634	0.933692	
0.000100	0.000121	0.345731	0.940263	
0.000100	0.000113	0.336922	0.942951	
0.000100	0.000131	0.322527	0.947133	
0.000100	0.000139	0.272097	0.954301	
0.000100	0.000122	0.347448	0.941159	
0.000100	0.000101	0.333533	0.943250	
0.000100	0.000109	0.334469	0.943548	
0.000100	0.000130	0.308006	0.950418	
0.000100	0.000173	0.325177	0.947431	
0.000100	0.000139	0.360867	0.937873	
0.000100	0.000101	0.354239	0.941159	
